s_no,area_type,availability,location,size,society,total_sqft,bath,balcony,price
12482,Super built-up  Area,Ready To Move,Rajaji Nagar,2 BHK,PhestOn,1763,3,2,240
12483,Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1150,2,1,45.99
12484,Plot  Area,Ready To Move,Koramangala,4 Bedroom,,2400,5,3,550
12485,Super built-up  Area,Ready To Move,Chikkalasandra,2 BHK,V2avei ,1290,2,2,72
12486,Built-up  Area,Ready To Move,Thubarahalli,4 BHK,VincyRe,3408,5,,145
12487,Built-up  Area,Ready To Move,HBR Layout,2 Bedroom,,900,2,1,145
12488,Built-up  Area,Ready To Move,Sanjay nagar,2 BHK,,1150,2,0,70
12489,Plot  Area,Ready To Move,Banashankari,3 Bedroom,,1040,2,1,109
12490,Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,IBityin,1160,2,2,64.08
12491,Super built-up  Area,Ready To Move,Soundarya Layout,2 BHK,,900,2,2,27
12492,Plot  Area,Ready To Move,Sarjapur  Road,4 Bedroom,NVanat ,1750,3,1,185
12493,Built-up  Area,18-Dec,Electronic City,3 BHK,,1320,2,1,38.12
12494,Super built-up  Area,Ready To Move,Lingadheeranahalli,4 BHK,Soiewre,2240,4,2,160
12495,Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,Shaceop,891,2,1,26
12496,Plot  Area,Ready To Move,Udaya Nagar,5 Bedroom,,1000,4,3,80
12497,Super built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,SoechHa,1852,3,2,125
12498,Super built-up  Area,Ready To Move,Chandapura,3 BHK,Siissi ,1323,2,1,42
12499,Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1404,2,1,67.5
12500,Built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,,1370,2,2,60
12501,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1385,2,2,48.48
12502,Super built-up  Area,Ready To Move,Gollarapalya Hosahalli,2 BHK,Mauner ,1129,2,1,50
12503,Super built-up  Area,Ready To Move,Mahalakshmi Layout,3 BHK,Asmosz ,1876,3,1,150
12504,Super built-up  Area,Ready To Move,Brooke Bond First Cross,3 BHK,Soosea ,1720,3,1,95
12505,Plot  Area,Ready To Move,Jalahalli East,4 Bedroom,,1200,4,1,80
12506,Super built-up  Area,Ready To Move,Mysore Road,2 BHK,PrntaEn,1175,2,2,86.68
12507,Super built-up  Area,Ready To Move,Nagawara Junction,1 BHK,,500,1,2,51
12508,Plot  Area,Ready To Move,Dasappa Layout,5 Bedroom,,1200,5,2,85
12509,Built-up  Area,Ready To Move,Electronic City Phase II,1 BHK,,1200,1,0,295
12510,Super built-up  Area,19-Jan,Hosa Road,3 BHK,Sosisic,1893,3,2,130
12511,Super built-up  Area,Ready To Move,Whitefield,3 BHK,JahanSa,1430,3,2,52
12512,Built-up  Area,Ready To Move,Green View Layout,2 BHK,DSeme S,850,2,2,45
12513,Super built-up  Area,17-Mar,CV Raman Nagar,2 BHK,Pu270a ,1392,2,1,110
12514,Super built-up  Area,21-Mar,Kanakpura Road,3 BHK,GolusLi,1938,3,3,105
12515,Super built-up  Area,18-Oct,Chennammanakere Achukattu,2 BHK,,1020,2,2,52
12516,Plot  Area,Ready To Move,"beml layout, basaveshwara nagar",3 Bedroom,,2400,2,1,360
12517,Super built-up  Area,Ready To Move,HBR Layout,3 BHK,Giersin,1832,3,2,160
12518,Super built-up  Area,Ready To Move,Konanakunte,3 BHK,,1423,2,2,85
12519,Super built-up  Area,Ready To Move,Jakkur,2 BHK,HRaniIb,1432,2,1,85
12520,Plot  Area,Ready To Move,2nd Block Hrbr Layout,4 Bedroom,,1350,4,3,235
12521,Plot  Area,Ready To Move,BTM 2nd Stage,8 Bedroom,,1500,6,0,270
12522,Super built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,,1480,3,2,65
12523,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Puestol,1843,3,2,96.2
12524,Plot  Area,Ready To Move,Lingarajapuram,3 Bedroom,,760,4,2,95
12525,Super built-up  Area,18-Dec,Hulimavu,3 BHK,NiarkHy,1916,2,1,150
12526,Super built-up  Area,Ready To Move,Hennur,2 BHK,,1255,2,1,55.5
12527,Super built-up  Area,Ready To Move,Yelenahalli,2 BHK,,1160,2,2,44.08
12528,Super built-up  Area,18-Jun,Old Madras Road,2 BHK,Brica E,2640,2,1,170
12529,Super built-up  Area,Ready To Move,Bommanahalli,2 BHK,Maoseer,1160,2,3,53
12530,Built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1200,2,1,80
12531,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,,1100,2,1,44
12532,Carpet  Area,Ready To Move,Ramagondanahalli,3 BHK,Reitice,1500,3,3,100
12533,Super built-up  Area,18-May,Electronic City Phase II,3 BHK,MJtroty,1336,2,3,50.35
12534,Built-up  Area,Ready To Move,Choodasandra,2 BHK,Maidsr ,1065,2,1,46
12535,Super built-up  Area,Ready To Move,Hebbal,2 BHK,Prersis,1294,2,1,115
12536,Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,Sovar S,1550,3,2,68.5
12537,Super built-up  Area,18-Dec,Whitefield,2 BHK,Prtates,1216,2,1,75
12538,Super built-up  Area,Ready To Move,Bank Of Baroda Colony,2 BHK,,1005,2,2,40
12539,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brnia G,1430,2,1,102
12540,Super built-up  Area,18-Dec,Frazer Town,4 BHK,Emsisy ,4100,4,3,660
12541,Super built-up  Area,22-Jun,Hoodi,3 BHK,GoAirej,1660,3,2,125
12542,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,MenueNo,1430,2,3,56
12543,Super built-up  Area,Ready To Move,Hennur Road,3 BHK,DSreerk,1470,2,1,75
12544,Super built-up  Area,Ready To Move,Jalahalli,2 BHK,Vaniai ,1045,2,1,76.77
12545,Super built-up  Area,Ready To Move,Hebbal,4 BHK,Brium C,4000 - 4450,6,0,359
12546,Built-up  Area,Ready To Move,Anjanapura,2 BHK,ACopsva,950,2,0,30
12547,Super built-up  Area,Ready To Move,Doddathoguru,3 BHK,SKterAs,1382,3,1,65
12548,Super built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,,930,2,2,46
12549,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,DSndsod,1660,2,2,116
12550,Super built-up  Area,Ready To Move,Vijinapura,2 BHK,Vadidpl,1290,2,2,71.95
12551,Built-up  Area,Ready To Move,Whitefield,3 BHK,JahanSa,1010,2,1,45
12552,Built-up  Area,Ready To Move,Brookefield,4 BHK,Sringlv,3050,4,,130
12553,Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,Adxira ,1200,2,2,71
12554,Built-up  Area,Ready To Move,3rd Block Hrbr Layout,3 BHK,,1650,3,2,140
12555,Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1636,3,2,88
12556,Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,2367,3,2,320
12557,Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1153,2,2,56.55
12558,Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,SoisoCa,2087.01,4,2,160
12559,Super built-up  Area,Ready To Move,LB Shastri Nagar,2 BHK,MancyRe,1200,2,1,47
12560,Super built-up  Area,Ready To Move,HSR Layout,3 BHK,SrisePo,1844,3,1,89
12561,Super built-up  Area,18-Dec,Hosa Road,3 BHK,Sosisic,142.84Sq. Meter,3,1,110
12562,Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1215,2,1,43.75
12563,Super built-up  Area,18-Jul,Sarjapur  Road,2 BHK,,1194,2,1,57
12564,Built-up  Area,Ready To Move,Chennappa Layout,2 BHK,VaireSo,1220,2,2,52
12565,Built-up  Area,Ready To Move,1st Block HBR Layout,4 BHK,,3150,4,2,150
12566,Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,PrarePa,525,1,1,26
12567,Super built-up  Area,18-May,Bommasandra,2 BHK,SSestth,955,2,1,37.97
12568,Built-up  Area,Ready To Move,Kadugondanahalli,5 Bedroom,,2000,5,,75
12569,Super built-up  Area,18-Aug,Magadi Road,2 BHK,Vrenty ,884,2,1,48
12570,Super built-up  Area,Ready To Move,Kathriguppe,2 BHK,,1250,2,1,68.75
12571,Super built-up  Area,Ready To Move,Bommasandra Industrial Area,2 BHK,,7000,2,1,135
12572,Plot  Area,Ready To Move,Dodda Nekkundi,3 Bedroom,FetatHa,2400,4,2,300
12573,Super built-up  Area,Ready To Move,Harlur,4 BHK,Shodsir,2990,4,1,225
12574,Super built-up  Area,Ready To Move,Bellandur,2 BHK,SRageri,1195,2,1,52
12575,Super built-up  Area,Ready To Move,Sadhguru Layout,1 BHK,,2559,1,1,55
12576,Built-up  Area,18-Mar,Begur,2 BHK,,1200,2,1,33
12577,Super built-up  Area,18-Nov,Sarjapur  Road,2 BHK,AsastDe,984,2,1,45.75
12578,Super built-up  Area,Ready To Move,Bommasandra,2 BHK,TCncyn ,1089,2,1,40
12579,Super built-up  Area,19-Mar,Hennur Road,2 BHK,Orens G,1165,2,1,52
12580,Super built-up  Area,Ready To Move,Chandapura,1 BHK,,410,1,1,10
12581,Super built-up  Area,18-Dec,Hennur,3 BHK,Puveshe,1482,3,1,110
12582,Built-up  Area,Ready To Move,Ramamurthy Nagar,2 Bedroom,,1200,2,1,68
12583,Super built-up  Area,19-Dec,Kanakapura,3 BHK,GoityEt,1938,3,3,113
12584,Super built-up  Area,18-Apr,Hormavu,3 BHK,,1166,2,2,34.97
12585,Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,,1275,2,2,55.46
12586,Super built-up  Area,Ready To Move,Mico Layout,2 BHK,Inasy E,1140,2,2,43
12587,Plot  Area,Ready To Move,Hegde Nagar,4 Bedroom,Sotosty,3734,5,1,430
12588,Super built-up  Area,Ready To Move,Tejaswini Nagar,1 BHK,Raood R,720,1,2,28
12589,Plot  Area,18-Apr,Nagarbhavi,3 Bedroom,,1200,3,2,228
12590,Built-up  Area,Ready To Move,Richards Town,2 BHK,Alnorrm,1100,2,1,90
12591,Super built-up  Area,Ready To Move,Sector 7 HSR Layout,2 BHK,,1162,2,2,98.77
12592,Built-up  Area,Ready To Move,Ramamurthy Nagar,1 Bedroom,,540,1,0,35
12593,Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,Sovar S,1550,2,2,73.5
12594,Plot  Area,Ready To Move,R.T. Nagar,3 Bedroom,,1300,3,,145
12595,Plot  Area,Ready To Move,Ullal Road,5 Bedroom,,1200,5,1,130
12596,Super built-up  Area,Ready To Move,Chikbasavanapura,2 BHK,SatonLi,1220,2,2,60
12597,Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,,964,2,1,62
12598,Built-up  Area,21-Dec,"Electronic City Phase 1, ",3 BHK,,1500,3,2,50
12599,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,DSlesSp,1347,2,1,44
12600,Super built-up  Area,Ready To Move,"JP Nagar 8th Phase, ",4 BHK,,5000,5,,250
12601,Built-up  Area,Ready To Move,Bannerghatta Road,4 Bedroom,,3000,4,2,140
12602,Super built-up  Area,18-Jun,Bannerghatta,2 BHK,,1120,2,1,42.5
12603,Super built-up  Area,Ready To Move,Lake City,1 BHK,Prdenth,600,1,1,22.8
12604,Super built-up  Area,18-Dec,Whitefield,3 BHK,Prtates,2321,4,1,157
12605,Super built-up  Area,Ready To Move,Bhagyalakshmi Avenue,1 BHK,Prineth,540,1,2,24
12606,Built-up  Area,Ready To Move,Hebbal,2 BHK,,1150,2,1,57
12607,Built-up  Area,Ready To Move,Sonnenahalli,3 BHK,Skacak ,1484,3,1,75
12608,Super built-up  Area,Ready To Move,Ramagondanahalli,3 BHK,Srdor S,1680,2,,68
12609,Super built-up  Area,Ready To Move,Byagadadhenahalli,2 BHK,,620,2,1,23
12610,Super built-up  Area,Ready To Move,Dodda Banaswadi,3 BHK,,1650,3,2,78
12611,Super built-up  Area,18-Apr,Chuchangatta Colony,3 BHK,,1250,3,2,44
12612,Super built-up  Area,18-Aug,Hanuman Nagar,3 BHK,,2072,3,2,108
12613,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Usquaya,1105,2,2,40
12614,Super built-up  Area,Ready To Move,Vidyaranyapura,2 BHK,Invenai,1200,2,2,60.5
12615,Built-up  Area,Ready To Move,Kumaraswami Layout,7 Bedroom,,3100,7,3,145
12616,Plot  Area,Ready To Move,Whitefield,4 Bedroom,Chllea ,4007,4,3,530
12617,Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,550,2,1,16
12618,Super built-up  Area,Ready To Move,Banashankari,3 BHK,,1340,2,2,53.6
12619,Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,2409,3,3,395
12620,Super built-up  Area,Ready To Move,Haralur Road,2 BHK,,1194,2,2,46
12621,Super built-up  Area,Ready To Move,Vittasandra,2 BHK,,1246,2,1,65
12622,Built-up  Area,Ready To Move,Old Airport Road,2 BHK,Canoroy,1055,2,3,75
12623,Super built-up  Area,18-Dec,Hosa Road,3 BHK,Mahesr ,1541,3,1,69.61
12624,Built-up  Area,Ready To Move,Harlur,2 BHK,,1370,2,2,88
12625,Super built-up  Area,Ready To Move,Whitefield,2 BHK,Veitaus,1224,2,2,75
12626,Plot  Area,Ready To Move,Kengeri Satellite Town,4 Bedroom,,650,2,1,58
12627,Built-up  Area,Ready To Move,Kambipura,2 BHK,Prrtht ,883,2,1,39
12628,Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,1676,3,,92.13
12629,Built-up  Area,Ready To Move,Shree Ananth Nagar Layout,2 BHK,PrinePr,1154,2,1,57
12630,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Hahtsya,1610,3,3,78.5
12631,Super built-up  Area,Ready To Move,Devasthanagalu,2 BHK,CMhidal,1057,2,1,42
12632,Super built-up  Area,18-Jul,Raja Rajeshwari Nagar,2 BHK,Prllsan,1157,2,1,65
12633,Plot  Area,18-May,Doddagubbi,4 Bedroom,,1200,4,1,85
12634,Plot  Area,Ready To Move,Dasappa Layout,7 Bedroom,,1500,7,3,130
12635,Super built-up  Area,Ready To Move,Gulimangala,2 BHK,Daxir E,980,2,3,35
12636,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Vaine S,1140,2,1,40
12637,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1206,2,1,40.7
12638,Built-up  Area,Ready To Move,Electronic City Phase II,1 BHK,,575,1,1,16.75
12639,Super built-up  Area,Ready To Move,Koramangala,3 BHK,K ncy R,1600,3,1,170
12640,Plot  Area,Ready To Move,1st Stage Indira Nagar,4 Bedroom,,2400,4,1,500
12641,Super built-up  Area,Ready To Move,Horamavu Agara,3 BHK,,1300,2,2,52
12642,Super built-up  Area,18-Dec,Tunganagara,3 BHK,DSdidSp,1270,2,1,35.56
12643,Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1128,2,1,63.5
12644,Super built-up  Area,Ready To Move,Electronics City Phase 1,1 BHK,Shiaa S,640,1,1,45
12645,Super built-up  Area,Ready To Move,4th T block Jayanagar,3 BHK,,2400,3,2,185
12646,Plot  Area,Ready To Move,TC Palaya,3 Bedroom,,1200,2,0,66
12647,Super built-up  Area,Ready To Move,Kanakapura,2 BHK,SPavenc,1090,2,2,38.15
12648,Super built-up  Area,Ready To Move,Electronic City,1 BHK,Itvir M,589,1,1,29
12649,Super built-up  Area,18-Apr,Electronic City,2 BHK,,1125,2,1,28.13
12650,Super built-up  Area,Ready To Move,Kogilu,2 BHK,,1140,2,2,50.66
12651,Plot  Area,Ready To Move,Sarjapur  Road,4 Bedroom,Adeatlm,3150,4,2,500
12652,Super built-up  Area,Ready To Move,Kundalahalli,2 BHK,Viuliap,1315,2,3,74
12653,Plot  Area,Ready To Move,Billamaranahalli,2 Bedroom,AWharan,300Sq. Yards,2,2,150
12654,Super built-up  Area,Ready To Move,Bellandur,3 BHK,AkonyHa,1435,2,2,115
12655,Super built-up  Area,Ready To Move,Haralur Road,2 BHK,,1092,2,2,44
12656,Super built-up  Area,18-May,Kadugodi,2 BHK,Alestrb,1314,2,3,80
12657,Super built-up  Area,Ready To Move,Koramangala,2 BHK,Gencysi,1260,2,1,100
12658,Plot  Area,Ready To Move,Srirampura,7 Bedroom,,1875,5,1,192
12659,Super built-up  Area,Ready To Move,Nagarbhavi,2 BHK,,1080,2,1,49
12660,Built-up  Area,Ready To Move,Nagasandra,8 Bedroom,,4000,8,3,160
12661,Super built-up  Area,18-Feb,Mysore Road,3 BHK,PrawnRa,1082,2,1,45
12662,Super built-up  Area,Ready To Move,Jakkur,3 BHK,,1150,3,2,65
12663,Super built-up  Area,18-Dec,Hennur Road,2 BHK,DSeldpr,1052,2,1,34.72
12664,Super built-up  Area,Ready To Move,Yelahanka,2 BHK,,1045,2,1,45
12665,Built-up  Area,Ready To Move,Kodigehaali,3 BHK,Shyas S,1442,3,2,80
12666,Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,SrncyRe,1500,2,2,75
12667,Super built-up  Area,Ready To Move,Marsur,2 BHK,Asara S,497,1,1,20
12668,Super built-up  Area,Ready To Move,Hennur,2 BHK,Shateor,1255,2,1,53.57
12669,Super built-up  Area,22-Jan,Vajarahalli,3 BHK,,1432,3,2,79
12670,Built-up  Area,Ready To Move,Kundalahalli,3 Bedroom,Roima A,2100,3,2,150
12671,Built-up  Area,Ready To Move,Hennur Road,2 BHK,Eltert ,1450,2,2,80
12672,Super built-up  Area,18-May,Sarjapur  Road,2 BHK,PualeSk,1346,2,1,69.61
12673,Super built-up  Area,Ready To Move,Kumaraswami Layout,2 BHK,,1200,2,2,29
12674,Super built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,Assha A,925,2,1,49.82
12675,Super built-up  Area,Ready To Move,Dasarahalli,2 BHK,,1160,2,2,49
12676,Super built-up  Area,18-Apr,Lingadheeranahalli,3 BHK,Shiumi ,1768,3,3,81.31
12677,Super built-up  Area,Ready To Move,Kothanur,2 BHK,,1094,2,2,54
12678,Super built-up  Area,Ready To Move,Seetharampalya,3 BHK,,1500,3,3,90
12679,Built-up  Area,Ready To Move,Gubbalala,3 BHK,MauilTr,1745,3,2,130
12680,Built-up  Area,Ready To Move,Bommanahalli,7 Bedroom,,2875,7,,85
12681,Super built-up  Area,Ready To Move,Byadarahalli,4 BHK,ETntsce,3500,3,3,425
12682,Super built-up  Area,Ready To Move,Sonnenahalli,3 BHK,AdtusAn,1550,3,1,50
12683,Super built-up  Area,Ready To Move,Rajiv Nagar,4 BHK,PuoodSk,2340,5,1,160
12684,Super built-up  Area,19-Mar,Whitefield,3 BHK,Prtates,1655,3,2,113
12685,Super built-up  Area,19-Jan,Battarahalli,3 BHK,PaontWa,2024,3,2,103
12686,Built-up  Area,Ready To Move,Siddapura,4 Bedroom,PrstaLa,3100,5,0,425
12687,Super built-up  Area,Ready To Move,Jalahalli,3 BHK,AFe 3Ph,1575,4,3,100
12688,Super built-up  Area,18-Dec,Iblur Village,3 BHK,DNionfl,1920,3,2,130
12689,Built-up  Area,Ready To Move,Sarjapur  Road,4 Bedroom,Adeatlm,6200,4,2,744
12690,Super built-up  Area,Ready To Move,Kambipura,3 BHK,Prrtht ,1082,2,1,55
12691,Super built-up  Area,Ready To Move,BTM 2nd Stage,3 BHK,Jancyva,1265,2,3,55
12692,Super built-up  Area,Ready To Move,Kengeri Satellite Town KHB Apartment,3 BHK,,1100,2,2,45
12693,Plot  Area,Ready To Move,Margondanahalli,2 Bedroom,,1160,2,1,65
12694,Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1246,2,1,67.4
12695,Super built-up  Area,19-Mar,Hosa Road,1 BHK,Skume R,615,1,1,43.08
12696,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Prhna S,1128,2,1,60
12697,Super built-up  Area,Ready To Move,Tirumanahalli,2 BHK,AmiewLa,1260,2,1,55
12698,Super built-up  Area,Ready To Move,Bellandur,3 BHK,OriewLa,1830,3,3,89.89
12699,Super built-up  Area,Ready To Move,Sarjapur,3 BHK,,1525,2,2,68
12700,Super built-up  Area,18-Jan,Yelahanka,1 BHK,Prensya,602,2,1,30
12701,Built-up  Area,Ready To Move,Kumaraswami Layout,7 Bedroom,,3000,4,2,400
12702,Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,Golmsn ,1835,3,3,89
12703,Built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1250,3,3,62.6
12704,Plot  Area,Ready To Move,Subhash Nagar,4 Bedroom,,1200,4,1,110
12705,Super built-up  Area,Ready To Move,Murugeshpalya,3 BHK,Vestas ,1855,3,3,96
12706,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1450,3,3,60.91
12707,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,PraleSi,2089,3,2,148
12708,Super built-up  Area,Ready To Move,Haralur Road,3 BHK,NRowse ,1464,3,2,56
12709,Plot  Area,Ready To Move,Banashankari Stage VI,4 Bedroom,,4800,3,2,200
12710,Built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1200,2,2,44.73
12711,Super built-up  Area,Ready To Move,Sarjapur,2 BHK,Coa 3t ,1095,2,1,45
12712,Plot  Area,Ready To Move,Ambedkar Nagar,3 Bedroom,Thessrm,2900,3,2,297
12713,Super built-up  Area,Ready To Move,BTM 2nd Stage,3 BHK,Saarlth,2500,3,2,345
12714,Built-up  Area,Ready To Move,Kothanur,3 BHK,EiionCa,1170,3,2,80
12715,Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,HMinebo,1280,2,1,88
12716,Super built-up  Area,18-Jul,Rajaji Nagar,2 BHK,Puwerun,1224,2,0,105
12717,Built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1694,3,1,125
12718,Super built-up  Area,Ready To Move,Electronic City,2 BHK,KBityo ,825,2,1,30
12719,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,,1612,3,1,98.38
12720,Super built-up  Area,18-Aug,Chandapura,2 BHK,SunceEs,985,2,1,25.12
12721,Super built-up  Area,Ready To Move,Murugeshpalya,2 BHK,Sahtsi ,1175,2,2,75
12722,Plot  Area,Ready To Move,Sunkadakatte,1 Bedroom,,600,1,0,24
12723,Built-up  Area,Ready To Move,Whitefield,3 BHK,SneurGr,1740,3,3,85
12724,Super built-up  Area,Ready To Move,Carmelaram,3 BHK,DSensn ,1770,3,2,99
12725,Plot  Area,Ready To Move,HAL 2nd Stage,8 Bedroom,,1000,7,3,260
12726,Super built-up  Area,18-Aug,Horamavu Agara,2 BHK,S2ionrn,1090,2,1,46
12727,Plot  Area,Ready To Move,Vasanth nagar,6 Bedroom,,2295,3,0,650
12728,Built-up  Area,Ready To Move,Whitefield,5 Bedroom,,4144,5,1,331
12729,Super built-up  Area,Ready To Move,Jogupalya,3 BHK,Ranor M,1800,3,1,130
12730,Super built-up  Area,Ready To Move,Jigani,3 BHK,DLhtsan,1221,3,3,65
12731,Super built-up  Area,18-Jun,8th Phase JP Nagar,2 BHK,Maian M,1046,2,1,48
12732,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Ayaya A,1290,2,3,56.12
12733,Built-up  Area,18-Dec,Electronic City Phase II,2 BHK,Sryalan,1065,2,1,30.76
12734,Super built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,SoechHa,1850,4,2,121
12735,Super built-up  Area,Ready To Move,Battarahalli,2 BHK,SraveHi,1097,2,1,49
12736,Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,Mykyayi,1200,3,2,70
12737,Super built-up  Area,Ready To Move,Varthur,3 BHK,,2160,3,2,170
12738,Super built-up  Area,18-May,Anekal,2 BHK,Aavelis,1140,2,2,52
12739,Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,,1297,2,2,98
12740,Super built-up  Area,Ready To Move,Padmanabhanagar,2 BHK,Shers S,1150,2,0,50
12741,Super built-up  Area,Ready To Move,Kuvempu Nagar,2 BHK,,1375,2,1,45
12742,Super built-up  Area,Ready To Move,Babusapalaya,2 BHK,Veisear,1245,2,2,58
12743,Super built-up  Area,18-Mar,Vasanth nagar,4 BHK,Prian E,4750,6,1,948
12744,Built-up  Area,Ready To Move,Nagarbhavi,4 Bedroom,,1800,3,0,180
12745,Super built-up  Area,Ready To Move,Brookefield,3 BHK,Mapleer,1594,3,2,140
12746,Plot  Area,Ready To Move,TC Palaya,3 Bedroom,,1200,2,0,66
12747,Super built-up  Area,18-Aug,Chandapura,1 BHK,SunceEs,645,1,1,16.45
12748,Super built-up  Area,20-Dec,Kanakpura Road,2 BHK,PrarePa,700,2,2,36
12749,Built-up  Area,Ready To Move,Rajaji Nagar,5 Bedroom,,2500,4,0,650
12750,Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,Arnis A,1000,2,0,50
12751,Plot  Area,Ready To Move,Whitefield,6 Bedroom,Adowslm,4000,5,1,540
12752,Super built-up  Area,Ready To Move,Begur Road,2 BHK,,1160,2,2,42
12753,Plot  Area,Ready To Move,Uday Nagar,6 Bedroom,,1200,6,0,85
12754,Plot  Area,Ready To Move,OMBR Layout,5 Bedroom,,600,3,0,140
12755,Super built-up  Area,Ready To Move,Gopalkrishna Nagar,3 BHK,MJarlPe,1570,2,2,95
12756,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Adeatlm,1290,2,2,88
12757,Super built-up  Area,Ready To Move,Kudlu Gate,2 BHK,,1200,2,1,44.4
12758,Super built-up  Area,20-Apr,Langford Gardens,3 BHK,Soond R,2777.29,5,2,649
12759,Super built-up  Area,Ready To Move,Shanti Nagar,3 BHK,VentsAp,2250,3,0,180
12760,Built-up  Area,Ready To Move,Defence Colony,2 BHK,Inshath,1270,2,,172
12761,Super built-up  Area,Ready To Move,Akshayanagara East,2 BHK,Prncyay,1145,2,2,44
12762,Super built-up  Area,Ready To Move,Chikkabanavar,3 BHK,,1320,2,2,46
12763,Built-up  Area,18-Aug,Electronic City Phase II,2 BHK,Sryalan,1065,2,1,30.75
12764,Built-up  Area,18-Mar,Whitefield,3 BHK,MKensi ,1650,3,2,48
12765,Super built-up  Area,18-Apr,Sarjapur  Road,2 BHK,PualeSk,1371,2,1,86
12766,Built-up  Area,Ready To Move,Doddanakunte,5 Bedroom,,2700,5,2,150
12767,Super built-up  Area,Ready To Move,Electronic City,3 BHK,Goty  E,1575,3,1,94.5
12768,Super built-up  Area,18-Jan,Yelahanka,2 BHK,Prensya,1362,2,2,66
12769,Built-up  Area,18-Mar,Bettahalsoor,5 Bedroom,Toainnt,3210,,,353
12770,Super built-up  Area,Ready To Move,Haralur Road,3 BHK,Ozensve,1255,3,1,90
12771,Super built-up  Area,Ready To Move,Whitefield,2 BHK,,925,2,1,35
12772,Super built-up  Area,19-Dec,Electronics City Phase 1,2 BHK,DSrry S,1088,2,1,30.46
12773,Super built-up  Area,Ready To Move,Yelahanka,2 BHK,NCowsar,1234,2,2,80
12774,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,PraleSi,2140,3,2,139
12775,Super built-up  Area,Ready To Move,Thubarahalli,3 BHK,ShdhiSa,1584,3,2,101
12776,Super built-up  Area,Ready To Move,Whitefield,2 BHK,BMttaor,1175,2,2,50
12777,Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3 BHK,,1555,3,3,52
12778,Super built-up  Area,18-Jul,Chandapura,1 BHK,SunceEs,645,1,1,16.45
